"sku";"nombre_tecnico_seo";"estado_staging";"marca";"referencia_fabricante";"enlace_producto_oficial";"enlace_ficha_tecnica";"enlace_imagen_directa";"estado_derechos_imagen";"referencia_permiso_imagen";"datos_confirmados";"observaciones";"nombre_provisional_original"
"SRT-PENDING-FBFCC917B264";"Alambre THHN/THW 8 AWG Cobre Sólido, Rojo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (rojo vs azul). Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Alambre Aislado N8 Rojo X Metro"
"SRT-PENDING-9EECB1397244";"Alambre THHN/THW 8 AWG Cobre Sólido, Verde";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia, material n/d) tomada de ""Alambre Aislado N10 Azul X Metro"" en cablescolombia.com. COLOR DISTINTO (verde vs azul). Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Alambre Aislado N8 Verde X Metro"
"SRT-PENDING-4C332162507B";"Alambre THHN/THW 10 AWG Cobre Sólido, Azul";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38413/thumb/ca89f436b3e0ea1596faf516fa2c8067.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"Imagen sugerida automáticamente desde cablescolombia.com — similitud 100% con ""Alambre Aislado N10 Azul X Metro"". Verificar visualmente y obtener permiso antes de publicar.";"Pendiente de verificación - Alambre Aislado N10 Azul X Metro"
"SRT-PENDING-C526999CC316";"Cable THHW-LS 14 AWG Cobre Trenzado, Rojo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-rojo";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/678/thumb/5af4a118a1f255ad1a2680876dad0e9c.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"Imagen sugerida automáticamente desde cablescolombia.com — similitud 100% con ""Cable Aislado Thhw Cu N14 Rojo"". Verificar visualmente y obtener permiso antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N14 Rojo"
"SRT-PENDING-0C9C276CC06B";"Cable THHW-LS 14 AWG Cobre Trenzado, Azul";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-azul";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/684/thumb/83c9160ae06509b462827ed20671357b.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"Imagen sugerida automáticamente desde cablescolombia.com — similitud 100% con ""Cable Aislado Thhw Cu N14 Azul"". Verificar visualmente y obtener permiso antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N14 Azul"
"SRT-PENDING-6CE65FDFB4CD";"Cable THHW-LS 14 AWG Cobre Trenzado, Blanco";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-blanco";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/686/thumb/c1de43cb523351572386357f92819d70.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"Imagen sugerida automáticamente desde cablescolombia.com — similitud 100% con ""Cable Aislado Thhw Cu N14 Blanco"". Verificar visualmente y obtener permiso antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N14 Blanco"
"SRT-PENDING-D60273BF0E1F";"Cable THHW-LS 14 AWG Cobre Trenzado, Negro";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-negro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/687/thumb/7ffdf556b586c52776ddb037db79dba4.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"Imagen sugerida automáticamente desde cablescolombia.com — similitud 100% con ""Cable Aislado Thhw Cu N14 Negro"". Verificar visualmente y obtener permiso antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N14 Negro"
"SRT-PENDING-04E75D17520F";"Cable THHW-LS 14 AWG Cobre Trenzado, Verde";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-verde";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/689/thumb/047c4fb63a17e5992b23eb3572458d85.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"Imagen sugerida automáticamente desde cablescolombia.com — similitud 100% con ""Cable Aislado Thhw Cu N14 Verde"". Verificar visualmente y obtener permiso antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N14 Verde"
"SRT-PENDING-1166A4BE4FAB";"Cable THHW-LS 12 AWG Cobre Trenzado, Azul";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-azul";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/704/thumb/248bfeedd70c6f32d08de639df19584a.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"Imagen sugerida automáticamente desde cablescolombia.com — similitud 100% con ""Cable Aislado Thhw Cu N12 Azul"". Verificar visualmente y obtener permiso antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N12 Azul"
"SRT-PENDING-75C2F07B5EC2";"Cable THHW-LS 12 AWG Cobre Trenzado, Rojo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-rojo";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/706/thumb/94db60a9c84c06726960963e2099b4ea.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"Imagen sugerida automáticamente desde cablescolombia.com — similitud 100% con ""Cable Aislado Thhw Cu N12 Rojo"". Verificar visualmente y obtener permiso antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N12 Rojo"
"SRT-PENDING-DFD91AC5C680";"Cable THHW-LS 12 AWG Cobre Trenzado, Negro";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-negro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/687/thumb/7ffdf556b586c52776ddb037db79dba4.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Negro"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N12 Negro"
"SRT-PENDING-6C3361585ADF";"Cable THHW-LS 12 AWG Cobre Trenzado, Blanco";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-blanco";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/686/thumb/c1de43cb523351572386357f92819d70.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Blanco"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N12 Blanco"
"SRT-PENDING-756929C8D6E7";"Cable THHW-LS 12 AWG Cobre Trenzado, Amarillo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-amarillo";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38427/thumb/491e056f82.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Amarillo"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N12 Amarillo"
"SRT-PENDING-86987D275B9F";"Cable THHW-LS 12 AWG Cobre Trenzado, Verde";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-verde";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/713/thumb/771905fdfdf484e304af013ca31f2901.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"Imagen sugerida automáticamente desde cablescolombia.com — similitud 100% con ""Cable Aislado Thhw Cu N12 Verde"". Verificar visualmente y obtener permiso antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N12 Verde"
"SRT-PENDING-21FD6C300A41";"Cable THHW-LS 10 AWG Cobre Trenzado, Blanco";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-blanco";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/686/thumb/c1de43cb523351572386357f92819d70.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Blanco"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N10 Blanco"
"SRT-PENDING-F5A166F079E1";"Cable THHW-LS 10 AWG Cobre Trenzado, Amarillo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-amarillo";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38427/thumb/491e056f82.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Amarillo"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N10 Amarillo"
"SRT-PENDING-60537BFEA285";"Cable THHW-LS 10 AWG Cobre Trenzado, Rojo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-rojo";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/678/thumb/5af4a118a1f255ad1a2680876dad0e9c.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Rojo"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N10 Rojo"
"SRT-PENDING-AD03162171F4";"Cable THHW-LS 10 AWG Cobre Trenzado, Azul";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-azul";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/684/thumb/83c9160ae06509b462827ed20671357b.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Azul"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N10 Azul"
"SRT-PENDING-C19135D919A3";"Cable THHW-LS 10 AWG Cobre Trenzado, Verde";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-verde";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/689/thumb/047c4fb63a17e5992b23eb3572458d85.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Verde"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N10 Verde"
"SRT-PENDING-B4C4339BB418";"Cable THHW-LS 10 AWG Cobre Trenzado, Negro";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-negro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/687/thumb/7ffdf556b586c52776ddb037db79dba4.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Negro"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N10 Negro"
"SRT-PENDING-BF4F71F6A068";"Cable THHW-LS 8 AWG Cobre Trenzado, Verde";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-verde";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/689/thumb/047c4fb63a17e5992b23eb3572458d85.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Verde"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N8 Verde"
"SRT-PENDING-CCECBBFDD5DE";"Cable THHW-LS 8 AWG Cobre Trenzado, Azul";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-azul";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/684/thumb/83c9160ae06509b462827ed20671357b.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Azul"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N8 Azul"
"SRT-PENDING-816DD2F59DE2";"Cable THHW-LS 8 AWG Cobre Trenzado, Blanco";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-blanco";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/686/thumb/c1de43cb523351572386357f92819d70.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Blanco"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N8 Blanco"
"SRT-PENDING-CB8A583550CE";"Cable THHW-LS 8 AWG Cobre Trenzado, Negro";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-negro";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/687/thumb/7ffdf556b586c52776ddb037db79dba4.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Negro"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N8 Negro"
"SRT-PENDING-8F3183B05B49";"Cable THHW-LS 8 AWG Cobre Trenzado, Rojo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-rojo";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/678/thumb/5af4a118a1f255ad1a2680876dad0e9c.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Rojo"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N8 Rojo"
"SRT-PENDING-073A5AB5611A";"Cable THHW-LS 8 AWG Cobre Trenzado, Amarillo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-amarillo";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38427/thumb/491e056f82.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Amarillo"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N8 Amarillo"
"SRT-PENDING-DDE1F397583D";"Cable THHW-LS 3x12 AWG Cobre, Rojo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-rojo";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/678/thumb/5af4a118a1f255ad1a2680876dad0e9c.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (89% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Rojo"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu 3X12 Trenzado Rojo"
"SRT-PENDING-692D488C739A";"Cable THHW-LS 3x12 AWG Cobre, Azul";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-azul";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/684/thumb/83c9160ae06509b462827ed20671357b.jpg";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (89% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Azul"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu 3X12 Trenzado Azul"
"SRT-PENDING-0793CB189B99";"Cable THHW-LS 6 AWG Cobre Trenzado, Amarillo";"pendiente_investigacion";"Procables/Centelsa";"";"https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-amarillo";"";"https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38427/thumb/491e056f82.webp";"autorizada";"confirmed-by-surtilec-2026-08-03";"pendiente";"IMAGEN GENÉRICA DE FAMILIA (100% familia/material/color) tomada de ""Cable Aislado Thhw Cu N14 Amarillo"" en cablescolombia.com — mismo tipo y color, calibre distinto. Reemplazar por foto exacta antes de publicar.";"Pendiente de verificación - Cable Aislado Thhw Cu N6 Amarillo"
