sku,nombre_surtilec,nombre_fuente_coincidencia_exacta,producto_url_fuente,imagen_url_fuente,metodo_coincidencia,confianza,estado_imagen_actual,accion_recomendada
SRT-PENDING-9EECB1397244,"Alambre THHN/THW 8 AWG Cobre Sólido, Verde",Alambre Aislado N8 Verde X Metro,https://cablescolombia.com/producto/alambre-aislado-n8-verde-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/445/19da91f933ccdb4a.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-4C332162507B,"Alambre THHN/THW 10 AWG Cobre Sólido, Azul",Alambre Aislado N10 Azul X Metro,https://cablescolombia.com/producto/alambre-aislado-n10-azul-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/420/bb3d7c4af1f68969.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-C526999CC316,"Cable THHW-LS 14 AWG Cobre Trenzado, Rojo",Cable Aislado Thhw Cu N14 Rojo,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-rojo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/678/f86fbbb8dca01dfc.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-0C9C276CC06B,"Cable THHW-LS 14 AWG Cobre Trenzado, Azul",Cable Aislado Thhw Cu N14 Azul,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-azul,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/684/41ac241c8d6a68b4.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-6CE65FDFB4CD,"Cable THHW-LS 14 AWG Cobre Trenzado, Blanco",Cable Aislado Thhw Cu N14 Blanco,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-blanco,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/686/7ef2e5c9611d88eb.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-D60273BF0E1F,"Cable THHW-LS 14 AWG Cobre Trenzado, Negro",Cable Aislado Thhw Cu N14 Negro,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-negro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/687/865692cc7a482383.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-04E75D17520F,"Cable THHW-LS 14 AWG Cobre Trenzado, Verde",Cable Aislado Thhw Cu N14 Verde,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-verde,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/689/619c333e58737025.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-1166A4BE4FAB,"Cable THHW-LS 12 AWG Cobre Trenzado, Azul",Cable Aislado Thhw Cu N12 Azul,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-azul,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/704/4f41b4f40f63e906.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-75C2F07B5EC2,"Cable THHW-LS 12 AWG Cobre Trenzado, Rojo",Cable Aislado Thhw Cu N12 Rojo,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-rojo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/706/04e8527e9c6bb72b.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-DFD91AC5C680,"Cable THHW-LS 12 AWG Cobre Trenzado, Negro",Cable Aislado Thhw Cu N12 Negro,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-negro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/707/d2b54c00bace8893.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-6C3361585ADF,"Cable THHW-LS 12 AWG Cobre Trenzado, Blanco",Cable Aislado Thhw Cu N12 Blanco,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-blanco,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/710/e5a883351c3d1301.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-756929C8D6E7,"Cable THHW-LS 12 AWG Cobre Trenzado, Amarillo",Cable Aislado Thhw Cu N12 Amarillo,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-amarillo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/712/bcc24b6b7d04a1d3.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-86987D275B9F,"Cable THHW-LS 12 AWG Cobre Trenzado, Verde",Cable Aislado Thhw Cu N12 Verde,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n12-verde,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/713/fe3aef3da98e0ab3.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-21FD6C300A41,"Cable THHW-LS 10 AWG Cobre Trenzado, Blanco",Cable Aislado Thhw Cu N10 Blanco,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-blanco,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/717/93a6fe483e292909.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-F5A166F079E1,"Cable THHW-LS 10 AWG Cobre Trenzado, Amarillo",Cable Aislado Thhw Cu N10 Amarillo,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-amarillo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/719/0ed4783bc6b6b64f.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-60537BFEA285,"Cable THHW-LS 10 AWG Cobre Trenzado, Rojo",Cable Aislado Thhw Cu N10 Rojo,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-rojo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/720/720361f62bee95fc.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-AD03162171F4,"Cable THHW-LS 10 AWG Cobre Trenzado, Azul",Cable Aislado Thhw Cu N10 Azul,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-azul,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/722/b6709ef13f1309b6.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-C19135D919A3,"Cable THHW-LS 10 AWG Cobre Trenzado, Verde",Cable Aislado Thhw Cu N10 Verde,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-verde,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/725/16776796fd0bd1cc.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-B4C4339BB418,"Cable THHW-LS 10 AWG Cobre Trenzado, Negro",Cable Aislado Thhw Cu N10 Negro,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n10-negro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/726/fd02ee37d36510bb.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-BF4F71F6A068,"Cable THHW-LS 8 AWG Cobre Trenzado, Verde",Cable Aislado Thhw Cu N8 Verde,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-verde,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/727/3328002d9ce85b1c.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-CCECBBFDD5DE,"Cable THHW-LS 8 AWG Cobre Trenzado, Azul",Cable Aislado Thhw Cu N8 Azul,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-azul,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/729/7ad76cc281ce8f85.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-816DD2F59DE2,"Cable THHW-LS 8 AWG Cobre Trenzado, Blanco",Cable Aislado Thhw Cu N8 Blanco,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-blanco,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/731/01415e15e04ba76d.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-CB8A583550CE,"Cable THHW-LS 8 AWG Cobre Trenzado, Negro",Cable Aislado Thhw Cu N8 Negro,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-negro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/734/0c2e8ef7b0a0f7b8.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-8F3183B05B49,"Cable THHW-LS 8 AWG Cobre Trenzado, Rojo",Cable Aislado Thhw Cu N8 Rojo,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-rojo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/736/fc125d3027ffecb3.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-073A5AB5611A,"Cable THHW-LS 8 AWG Cobre Trenzado, Amarillo",Cable Aislado Thhw Cu N8 Amarillo,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n8-amarillo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/739/4645a54077c9f9e8.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-DDE1F397583D,"Cable THHW-LS 3x12 AWG Cobre, Rojo",Cable Aislado Thhw Cu 3X12 Trenzado Rojo,https://cablescolombia.com/producto/cable-aislado-thhw-cu-3x12-trenzado-rojo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/741/851717376fbfacc5.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-692D488C739A,"Cable THHW-LS 3x12 AWG Cobre, Azul",Cable Aislado Thhw Cu 3X12 Trenzado Azul,https://cablescolombia.com/producto/cable-aislado-thhw-cu-3x12-trenzado-azul,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/743/3d89d4513f53e29d.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-0793CB189B99,"Cable THHW-LS 6 AWG Cobre Trenzado, Amarillo",Cable Aislado Thhw Cu N6 Amarillo,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n6-amarillo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/744/fef77ec712cb76bd.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-E165E6F74DD3,"Cable THHW-LS 6 AWG Cobre Trenzado, Azul",Cable Aislado Thhw Cu N6 Azul,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n6-azul,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/745/6db0a009e08d68cd.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-92276926BA9C,"Cable THHW-LS 6 AWG Cobre Trenzado, Blanco",Cable Aislado Thhw Cu N6 Blanco,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n6-blanco,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/747/4582752fad8a5922.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-1EE8DD2575A6,"Cable THHW-LS 6 AWG Cobre Trenzado, Negro",Cable Aislado Thhw Cu N6 Negro,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n6-negro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/748/f8b0b8a7e3378afa.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-6BA5A1DAA2AC,"Cable THHW-LS 6 AWG Cobre Trenzado, Rojo",Cable Aislado Thhw Cu N6 Rojo,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n6-rojo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/752/1caa0c4731911e6c.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-8B3722E7CB2B,"Cable THHW-LS 6 AWG Cobre Trenzado, Verde",Cable Aislado Thhw Cu N6 Verde,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n6-verde,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/754/83d7473503ab5334.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-0CEB7A30C550,Cable THHW-LS 4 AWG Cobre Trenzado,Cable Aislado Thhw Cu N4,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n4,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/757/cea5e11ce2d8c19e.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-1CEB98D50A52,Cable THHW-LS 2 AWG Cobre Trenzado,Cable Aislado Thhw Cu N2,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n2,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/759/4ce3ff103a84741d.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-CCD73200B6F2,Cable THHW-LS 1/0 AWG Cobre Trenzado,Cable Aislado Thhw Cu 1/0,https://cablescolombia.com/producto/cable-aislado-thhw-cu-1-0,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/761/5a0dcd6f9d2dc999.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-F261807B9900,Cable THHW-LS 2/0 AWG Cobre Trenzado,Cable Aislado Thhw Cu 2/0,https://cablescolombia.com/producto/cable-aislado-thhw-cu-2-0,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/764/c1b89d1abd0760bc.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-4C460F3BCB10,Cable THHW-LS 3/0 AWG Cobre Trenzado,Cable Aislado Thhw Cu 3/0,https://cablescolombia.com/producto/cable-aislado-thhw-cu-3-0,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/767/edec87cf0e00f4c9.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-B03FCD60601B,Cable THHW-LS 4/0 AWG Cobre Trenzado,Cable Aislado Thhw Cu 4/0,https://cablescolombia.com/producto/cable-aislado-thhw-cu-4-0,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/771/4d8736fca8a7316e.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-03893103C5CC,Cable THHW-LS 250 kcmil Cobre Trenzado,Cable Aislado Thhw Cu 250MCM,https://cablescolombia.com/producto/cable-aislado-thhw-cu-250mcm,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/772/ce25377245440b41.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-BB2B59952D1B,Cable THHW-LS 350 kcmil Cobre Trenzado,Cable Aislado Thhw Cu 350MCM,https://cablescolombia.com/producto/cable-aislado-thhw-cu-350mcm,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/774/420ac957835b78ac.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-920AA95588FF,Cable THHW-LS 500 kcmil Cobre Trenzado,Cable Aislado Thhw Cu 500MCM,https://cablescolombia.com/producto/cable-aislado-thhw-cu-500mcm,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/775/0e7f196eb5f6dbdb.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-5D89757874CE,Cable THHW-LS 400 kcmil Cobre Trenzado,Cable Aislado Thhw Cu 400MCM,https://cablescolombia.com/producto/cable-aislado-thhw-cu-400mcm,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/776/7d061d879c7e1254.webp,nombre_original_fuente_exacto,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-86DB4130DA9A,"Cable THHW-LS 14 AWG Cobre Trenzado, Amarillo",Cable Aislado Thhw Cu N14 Amarillo,https://cablescolombia.com/producto/cable-aislado-thhw-cu-n14-amarillo,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/38427/93ddb2136349c41d.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-780ABB517110,Alambre de Cobre Desnudo 14 AWG Sólido,Alambre Desnudo N14 x Metro,https://cablescolombia.com/producto/alambre-desnudo-n14-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/375/ebe10db747fadd35.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-1804F14F0031,Alambre de Cobre Desnudo 12 AWG Sólido,Alambre Desnudo N12 x Metro,https://cablescolombia.com/producto/alambre-desnudo-n12-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/377/a9f55eb04c4e257c.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-CCE01012E007,Alambre de Cobre Desnudo 10 AWG Sólido,Alambre Desnudo N10 x Metro,https://cablescolombia.com/producto/alambre-desnudo-n10-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/379/e52d8b2fb5a80f16.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-E8DD5A6639BC,Alambre de Cobre Desnudo 8 AWG Sólido,Alambre Desnudo N8 x Metro,https://cablescolombia.com/producto/alambre-desnudo-n8-x-metro,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/380/9b71a3ee9484c1d1.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-97A4BB65EF11,Cable de Cobre Desnudo 14 AWG Trenzado,Cable Desnudo Cobre N14,https://cablescolombia.com/producto/cable-desnudo-cobre-n14,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/402/f292ca41ea42c0b416128eb7309c2ab4.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-62ECCB9CBC7F,Cable de Cobre Desnudo 12 AWG Trenzado,Cable Desnudo Cobre N12,https://cablescolombia.com/producto/cable-desnudo-cobre-n12,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/406/2bb04e5250404cbaf8d85390b3b73b31.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-3E3E2E48D6A4,Cable de Cobre Desnudo 10 AWG Trenzado,Cable Desnudo Cobre N10,https://cablescolombia.com/producto/cable-desnudo-cobre-n10,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/456/1783b57f0a75c36508473dcf69e35a07.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-54AFC653C391,Cable de Cobre Desnudo 8 AWG Trenzado,Cable Desnudo Cobre N8,https://cablescolombia.com/producto/cable-desnudo-cobre-n8,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/458/452313214fe3b6d0e5f8f8ccf8f47e0d.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-77E92A904BC9,Cable de Cobre Desnudo 6 AWG Trenzado,Cable Desnudo Cobre N6,https://cablescolombia.com/producto/cable-desnudo-cobre-n6,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/461/9f5f60523a476317ba43689e968f2288.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
SRT-PENDING-84502B5390F0,Cable de Cobre Desnudo 4 AWG Trenzado,Cable Desnudo Cobre N4,https://cablescolombia.com/producto/cable-desnudo-cobre-n4,https://multimedia02.s3.us-east-2.amazonaws.com/Produccion/tiendas/127/productos/462/e38fa0f0335b773cc08621c79cd9ceae.webp,nombre_original_fuente_exacto_y_url_fuente,alta,revisar_variante_antes_de_publicar,descargar_y_asignar_imagen_exacta
