sku,post_title,has_featured_image
566-9365-500U,"Belden 9365 — Cable para bandeja 18 AWG, 3 conductores, apantallado",1
566-9463-500,"Belden 9463 — Cable de control 20 AWG, 2 conductores, apantallado",1
566-9492-U500-60,"Belden 9492 — Cable para bandeja 20 AWG, 3 conductores, sin apantallar",1
31303326000,"Cu (cobre) desnudo blando 8 AWG",1
31303259000,"Cu (cobre) desnudo blando 10 AWG",1
31303205000,"Cu (cobre) desnudo blando 12 AWG",1
31303163000,"Cu (cobre) desnudo blando 14 AWG",1
31321038000,"Cable Cu (cobre) desnudo blando 350 kcmil (B) 37H",1
31321034000,"Cable Cu (cobre) desnudo blando 250 kcmil (B) 37H",1
31319011000,"Cable Cu (cobre) desnudo blando 4/0 AWG (B) 19H",1
31321028000,"Cable Cu (cobre) desnudo blando 2/0 AWG (B) 19H",1
31321026000,"Cable Cu (cobre) desnudo blando 1/0 AWG (B) 19H",1
31321024000,"Cable Cu (cobre) desnudo blando 2 AWG (B) 7H",1
31321022000,"Cable Cu (cobre) desnudo blando 4 AWG (B) 7H",1
31321020000,"Cable Cu (cobre) desnudo blando 6 AWG (B) 7H",1
31321018000,"Cable Cu (cobre) desnudo blando 8 AWG (B) 7H",1
31321016000,"Cable Cu (cobre) desnudo blando 10 AWG (B)7H",1
31353140001,"THHN/THWN-2 8 AWG 600V 90°C",1
31353140002,"THHN/THWN-2 8 AWG Cu (cobre) 600V90°C",1
31353100001,"THHN/THWN-2 10 AWG Cu600V 90°C",1
31353080001,"THHN/THWN-2 12AWG Cu (cobre) 600V90°C",1
31353060001,"THHN/THWN-2 14AWG Cu (cobre) 600V90°C",1
31353040001,"THHN/THWN-2 16 AWG Cu (cobre) 600V90°C",1
31353020001,"THHN/THWN-2 18 AWG Cu (cobre) 600V90°C",1
31353101001,"Cable THHN/THWN-2 2&#215;10 AWG Cu (cobre) 600V 90°C",1
31353081001,"Cable THHN/THWN-2 2&#215;12 AWG Cu (cobre) 600V 90°C",1
31353061001,"Cable THHN/THWN-2 2&#215;14 AWG Cu (cobre) 600V 90°C",1
31353149901,"Cable THHN/THWN-2 8 AWG Cu (cobre) 600V 90°C 7H (XD)",1
31352605601,"THHN/THWN-2 6 AWG Cu (cobre) 600V 90° flexible",1
31352604801,"THHN/THWN-2 4 AWG Cu (cobre) 600V 90° flexible",1
31352603601,"THHN/THWN-2 2 AWG Cu (cobre) 600V 90° flexible",1
31352602801,"THHN/THWN-2 1/0 AWG Cu (cobre) 600V 90° flexible",1
31352602401,"THHN/THWN-2 2/0 AWG Cu (cobre) 600V 90° flexible",1
31352602001,"THHN/THWN-2 3/0 AWG Cu (cobre) 600V 90° flexible",1
31352601601,"THHN/THWN-2 4/0 AWG Cu (cobre) 600V 90° flexible",1
31352610201,"THHN/THWN-2 250 kcmil Cu (cobre) 600V 90° flexible",1
31352610101,"THHN/THWN-2 350 kcmil Cu (cobre) 600V 90° flexible",1
31352610102,"THHN/THWN-2 500 kcmil Cu (cobre) 600V 90° flexible",1
31354002601,"THWN-2 8 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31354002605,"THWN-2 8 AWG Cu (J) PVC/NY 600V 105C G&#038;OII VW-1",1
31354001601,"TFFN 18 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31354001801,"TFFN 16 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31354002101,"THWN-2 10 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31354002201,"THWN-2 12 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31354002301,"THWN-2 14 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31354002401,"THWN-2 16 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31354002501,"THWN-2 18 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31354003601,"THWN-2 6 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31354004801,"THWN-2 4 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31354004101,"THWN-2 2 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31354003101,"THWN-2 1/0 AWG Cu (J) PVC/NY 600V 90°C G&#038;OII VW-1",1
31405170001,"TSEC 2&#215;6+6 AWG Cu (cobre)-XLPUV/PE 600V 75°C CDSA",0
31405170002,"TSEC 2&#215;6+6 AWG Cu (cobre)-XLPUV/PE 600V 90°C CDSA",0
31404264001,"TSEC 2&#215;6+6 AWG Cu (cobre)-XLPUV/PE 600V 90°C",0
31404244901,"TSEC 2&#215;8+8 AWG Cu (cobre) CPR XLPE-SR 600V 90°C PE",0
31404145001,"TSEC 8+8 AWG Cu-PE/PVC 600V 75°C CDSA",0
31405820001,"TIPO TREBOL 2&#215;10+10 AWG Cu (cobre) XLPE-SR 600V 75°C PE",1
31405820002,"TIPO TREBOL 2&#215;10+10 AWG Cu (cobre) XLPE-SR 600V 90°C PE",1
31405811001,"TIPO TREBOL 2&#215;8+8 AWG Cu (cobre) XLPE-SR 600V 75°C PE",1
31405811002,"TIPO TREBOL 2&#215;8+8 AWG Cu (cobre) XLPE-SR 600V 90°C PE",1
31352614501,"EXZHELLENT BW 14 AWG (2.5mm2) Cu (cobre) CPR HFFR LS 600V 75°",0
31352612201,"EXZHELLENT BW 12 AWG (4mm2) Cu (cobre) CPR HFFR LS 600V 75°C",0
31352610601,"EXZHELLENT BW 10 AWG (6mm2) Cu (cobre) CPR HFFR LS 600V 75°C",0
31352610801,"EXZHELLENT BW 10 AWG (6mm2) Cu (cobre) CPR HFFR LS 600V 75°C XLPE",1
31352610201-2,"EXZHELLENT BW 8 AWG (10mm2) Cu (cobre) CPR HFFR LS 600V 75°C",0
31352610101-2,"EXZHELLENT BW 8 AWG (10mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE",1
31352610102-2,"EXZHELLENT BW 8 AWG Cu (cobre) CPR HFFR LS 600V 90°C XLPE 4H ST",1
31352608801,"EXZHELLENT BW 6 AWG (16mm2) Cu (cobre) CPR HFFR LS 600V 75°C",0
31352608701,"EXZHELLENT BW 6 AWG (16mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE",1
31352606201,"EXZHELLENT BW 4 AWG (25mm2) Cu (cobre) CPR HFFR LS 600V 75°C",0
31352606101,"EXZHELLENT BW 4 AWG (25mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE",1
31352602401-2,"EXZHELLENT BW 2 AWG (35mm2) Cu (cobre) CPR HFFR LS 600V 75°C",0
31352602301,"EXZHELLENT BW 2 AWG (35mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE",1
31352600401,"EXZHELLENT BW 1/0 AWG (50mm2) Cu (cobre) CPR HFFR LS 600V 75°C",0
31352600301,"EXZHELLENT BW 1/0 AWG (50mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE",1
31352598801,"EXZHELLENT BW 2/0 AWG (70mm2) Cu (cobre) CPR HFFR LS 600V 75°C",0
31352598701,"EXZHELLENT BW 2/0 AWG (70mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE",1
31352596401,"EXZHELLENT BW 3/0 AWG (95mm2) Cu (cobre) CPR HFFR LS 600V 75°C",0
31352596301,"EXZHELLENT BW 3/0 AWG (95mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE",1
31352594201,"EXZHELLENT BW 4/0 AWG (120mm2) Cu (cobre) CPR HFFR LS 600V 75°C",0
31352594101,"EXZHELLENT BW 4/0 AWG (120mm2) Cu (cobre) CPR HFFR LS 600V 90°C XLPE",1
31352611601,"EXZHELLENT BW 500 kcmil Cu (cobre) CPR HFFR LS 600V 75°",0
31352611001,"EXZHELLENT BW 350 kcmil Cu (cobre) CPR HFFR LS 600V 75°",0
31352610401,"EXZHELLENT BW 250 kcmil Cu (cobre) CPR HFFR LS 600V 75°",0
31354002601-2,"THWN-2 8 AWG Cu (J) PVC/NY 600V G&#038;O II VW-1",1
31354002605-2,"THWN-2 8 AWG Cu (J) PVC/NY 600V 105C G&#038;OII VW-1",1
31354001801-2,"THWN-2 10 AWG Cu (J) PVC/NY 600V G&#038;O II VW-1",1
31354001805,"THWN-2 10 AWG Cu (J) PVC/NY 600V 105C G&#038;OII VW-1",1
31354001001,"THWN-2 12 AWG Cu (J) PVC/NY 600V G&#038;O II VW-1",1
31354001005,"THWN-2 12 AWG Cu (J) PVC/NY 600V 105C G&#038;OII VW-1",1
31354000201,"THWN-2 14 AWG Cu (J) PVC/NY 600V G&#038;O II VW-1",1
31354000205,"THWN-2 14 AWG Cu (J) PVC/NY 600V 105C G&#038;OII VW-1",1
31354000401,"THWN-2 16 AWG Cu (J) PVC/NY 600V G&#038;O II VW-1",1
31353999801,"THWN-2 18 AWG Cu (J) PVC/NY 600V G&#038;O II VW-1",1
31354001601-2,"TFFN 18 AWG Cu (flexible) PVC/NY 600V G&#038;O II VW-1",1
31353999701,"THWN-2 18 AWG Cu (J) PVC/NY 600V 105C G&#038;OII VW-1",1
31353999301,"SUPERFLEX 8 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1",0
31353999001,"SUPERFLEX 10 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1",0
31353998701,"SUPERFLEX 12 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1",0
31353998401,"SUPERFLEX 14 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1",0
31353998301,"SUPERFLEX 16 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1",0
31353998201,"SUPERFLEX 18 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1",0
31354240105,"SUPERFLEX 20 AWG Cu (cobre) (J) PVC/NY 600V 90°C VW-1",0
31354220102,"THWN-2 12 AWG Cu (J) PVC/NY 600V105°C G&#038;O II VW-1CT",1
31354002001,"THWN-2 14 AWG Cu (flexible) PVC/NY 600V G&#038;O II VW-1",1
31354002002,"THWN-2 14 AWG Cu (flexible) PVC NY 600V 105C G&#038;O II VW-1",1
31354001801-3,"TFFN 16 AWG Cu (flexible) PVC/NY 600V G&#038;O II VW-1",1
31354001802,"TFFN 16AWG Cu (flexible) PVC /NY 600V 105C G&#038;O II VW-1",1
31354001601-3,"TFFN 18 AWG Cu (flexible) PVC/NY 600V G&#038;O II VW-1",1
31354001602,"TFFN 18AWG Cu (flexible) PVC/NY 600V 105C G&#038;O II VW-1",1
31369100002,"DUPLEX CPE SPT 2&#215;10 AWG Cu (J) PVC 300V 60°C",1
31369080001,"DUPLEX CPE SPT 2&#215;12 AWG Cu (J) PVC 300V 60°C",1
31369060001,"DUPLEX CPE SPT 2&#215;14 AWG Cu (J) PVC 300V 60°C",1
31369041001,"DUPLEX CPE SPT 2&#215;16 AWG Cu (J) PVC 300V 60°C",1
31369021001,"DUPLEX CPE SPT 2&#215;18 AWG Cu (J) PVC 300V 60°C",1
31369011001,"DUPLEX CPE SPT 2&#215;20 AWG Cu (J) PVC 300V 60°C",1
31369010601,"DUPLEX CPE SPT 3&#215;12 AWG Cu (J) PVC 300V 60°C",1
31369010401,"DUPLEX CPE SPT 3&#215;14 AWG Cu (J) PVC 300V 60°C",1
31369010201,"DUPLEX CPE SPT 3&#215;16 AWG Cu (J) PVC 300V 60°C",1
31369010001,"DUPLEX CPE SPT 3&#215;18 AWG Cu (J) PVC 300V 60°C",1
31368980001,"TERMOFLEX 2&#215;10 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368960001,"TERMOFLEX 2&#215;12 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368940001,"TERMOFLEX 2&#215;14 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368920001,"TERMOFLEX 2&#215;16 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368900001,"TERMOFLEX 2&#215;18 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368880001,"TERMOFLEX 2&#215;20 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368860001,"TERMOFLEX 3&#215;10 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368840001,"TERMOFLEX 3&#215;12 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368820001,"TERMOFLEX 3&#215;14 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368800001,"TERMOFLEX 3&#215;16 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368780001,"TERMOFLEX 3&#215;18 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368760001,"TERMOFLEX EXZHELLENT 2&#215;10 AWG (6mm2) Cu (cobre) 300V 60°C",1
31368740001,"TERMOFLEX EXZHELLENT 2&#215;12 AWG (4mm2) Cu (cobre) 300V 60°C",1
31368720001,"TERMOFLEX EXZHELLENT 2&#215;14 AWG (2.5mm2) Cu (cobre) 300V 60°C",1
31368700001,"TERMOFLEX EXZHELLENT 3&#215;10 AWG (6mm2) Cu (cobre) 300V 60°C",1
31368680001,"TERMOFLEX EXZHELLENT 3&#215;12 AWG (4mm2) Cu (cobre) 300V 60°C",1
31368660001,"TERMOFLEX MULTIPROPÓSITO 2&#215;10 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368640001,"TERMOFLEX MULTIPROPÓSITO 2&#215;12 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368620001,"TERMOFLEX MULTIPROPÓSITO 2&#215;14 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368600001,"TERMOFLEX MULTIPROPÓSITO 2&#215;16 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368580001,"TERMOFLEX MULTIPROPÓSITO 2&#215;18 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368560001,"TERMOFLEX MULTIPROPÓSITO 2&#215;20 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368540001,"TERMOFLEX MULTIPROPÓSITO 3&#215;10 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368520001,"TERMOFLEX MULTIPROPÓSITO 3&#215;12 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368500001,"TERMOFLEX MULTIPROPÓSITO 3&#215;14 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368480001,"TERMOFLEX MULTIPROPÓSITO 3&#215;16 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368460001,"TERMOFLEX MULTIPROPÓSITO 3&#215;18 AWG Cu (cobre) (J) PVC 300V 60°C",1
31368440001,"TERMOFLEX MULTIPROPÓSITO 3&#215;20 AWG Cu (cobre) (J) PVC 300V 60°C",1
32352320101,"THHW 2 AWG (33.6 mm2) AA8000",0
32352320201,"THHW 1 AWG (42.4 mm2) AA8000",0
32352320301,"THHW 1/0 AWG (53.5 mm2) AA8000",0
32352340101,"THHW 1/0 AWG (53.5 mm2)",1
32352350101,"THHW 2/0 AWG (67.4 mm2)",1
32352360101,"THHW 3/0 AWG (85 mm2)",1
32352370101,"THHW 4/0 AWG (107 mm2)",1
32352380101,"THHW 250 kcmil (127 mm2)",1
32352390101,"THHW 350 kcmil (177 mm2)",1
32352400101,"THHW 500 kcmil (253 mm2)",1
32352730101,"EXZHELLENT 2 AWG (35mm2) AA8000",0
32352740101,"EXZHELLENT 1 AWG (42.4mm2) AA8000",0
32352750101,"EXZHELLENT 1/0 AWG (53.5mm2) AA8000",0
32352760101,"EXZHELLENT 2/0 AWG (67.4mm2) AA8000",0
32352770101,"EXZHELLENT 3/0 AWG (85mm2) AA8000",0
32352780101,"EXZHELLENT 4/0 AWG (107mm2) AA8000",0
32352790101,"EXZHELLENT 250 kcmil (127mm2) AA8000",0
32352800101,"EXZHELLENT 350 kcmil (177mm2) AA8000",0
32352810101,"EXZHELLENT 500 kcmil (253mm2) AA8000",0
32480055000,"ACSR 4/0 AWG PENGUIN",0
32480050000,"ACSR 2/0 AWG PARTRIDGE",0
32480045000,"ACSR 1/0 AWG RAVEN",0
32480040000,"ACSR 2 AWG SPARATE",0
32480035000,"ACSR 4 AWG PENGUIN",0
32481200001,"ACSR 2/0 SWANATE",0
32481210001,"ACSR 4/0 PARTRIDGE",0
32481220001,"ACSR 336 kcmil MERLIN",0
32481230001,"ACSR 477 kcmil HAWK",0
32481240001,"ACSR 556 kcmil FLICKER",0
32481250001,"ACSR 715 kcmil DRAKE",0
32482100001,"TRIPLEX 2&#215;1/0+1/0 AWG XLPE/XLPE",1
32482120001,"TRIPLEX 2&#215;2/0+2/0 AWG XLPE/XLPE",1
32482130001,"TRIPLEX 2&#215;4/0+4/0 AWG XLPE/XLPE",1
32482140001,"TRIPLEX 2&#215;250+250 kcmil XLPE/XLPE",1
32482150001,"CUADRUPLEX 3&#215;1/0+1/0 AWG XLPE",1
32482160001,"CUADRUPLEX 3&#215;2/0+2/0 AWG XLPE",1
32482170001,"CUADRUPLEX 3&#215;4/0+4/0 AWG XLPE",1
32482180001,"CUADRUPLEX 3&#215;250+250 kcmil XLPE",1
31399000693,"PV 4mm2 Cu (flexible) XLPE SR 2000V G&#038;O 90°C PVC",0
31399000894,"PV 6mm2 Cu (flexible) XLPE SR 1500V G&#038;O 90°C PVC",0
31399000895,"PV 6mm2 Cu (flexible) XLPE SR 1000V G&#038;O 90°C PVC",0
31399001094,"PV 10mm2 Cu (flexible) XLPE SR 1500V G&#038;O 90°C PVC",0
81471200002,"Cable LAN CAT5E 4PX26AWG",1
81471200003,"Cable LAN CAT6 4PX23AWG",1
81471200004,"Cable LAN CAT6A 4PX23AWG",1
81471200005,"Cable LAN CAT5E APANT 4PX24AWG",1
88490018501,"FO SM ARMADA 96H CINTA ACERO",0
88490037001,"FO SM ADSS 12H VANO 120",0
88490037101,"FO SM ADSS 24H VANO 120",0
88490037201,"FO SM ADSS 48H VANO 120",0
88490038501,"FO SM ADSS 12H VANO 200",0
88490038601,"FO SM ADSS 24H VANO 200",0
88490038701,"FO SM ADSS 48H VANO 200",0
88490202601,"FO SM ARMADA 24H CINTA ACERO",0
88490202701,"FO SM ARMADA 48H CINTA ACERO",0
88490211001,"MICRO FO SM 24H FRP WB",0
106565,"16 AWG 4 conductores SJOOW Cordón portátil 300V",1
106969,"18/4C VNTC apantallado Cable para bandeja E2 600V ER",0
1075A,"Belden 1075A — 20/2P-22/1C 300V Cable PLTC BC I/O blindaje PLTC/ITC/CMG PVC/PVC",1
3079A,"Belden 3079A — 22/1P Cable DataBus Profibus Cable BC apantallado PLTC/ITC/CMG PE/PVC 300V",1
8770,"Belden 8770 — Cable multiconductor 18/3C STR TC PE Beldfoil PVC",1
110902,"18/8C CL3R/CMR Cable multiconductor BC apantallado PVC 300V",0
106562,"10 AWG 4 conductores SJOOW Cordón portátil 300V",1
106563,"12 AWG 3 conductores SJOOW Cordón portátil 300V",1
106564,"12 AWG 4 conductores SJOOW Cordón portátil 300V",1
106566,"18 AWG 3 conductores SJOOW Cordón portátil 300V",1
106567,"4/4C SOOW Cordón portátil 90C 600V CPE negro Non-UL",1
106568,"8/3C SOOW Cordón portátil 90C 600V CPE negro Non-UL",1
106569,"8/4C SOOW Cordón portátil 90C 600V CPE negro Non-UL",1
106570,"10/2C SOOW Cordón portátil 90C 600V CPE",1
106571,"16/2C SOOW Cordón portátil 90C 600V CPE",1
106572,"16/3C SOOW Cordón portátil 90C 600V CPE",1
106573,"16/4C SOOW Cordón portátil 90C 600V CPE",1
106574,"18/5C SOOW Cordón portátil 90C 600V CPE",1
106575,"1 AWG clase K Cable de soldadura 600V 105C EPDM",0
106576,"2 AWG clase K Cable de soldadura 600V 105C EPDM",0
106578-V2,"2 AWG Super Vu-Tron Cable de soldadura 600V 90C",0
106579,"4 AWG clase K Cable de soldadura 600V 105C EPDM",0
106581,"6 AWG clase K Cable de soldadura 600V 105C EPDM",0
106582,"1/0 AWG clase K Cable de soldadura 600V 105C EPDM",0
106584,"1/0 AWG Super Vu-Tron Cable de soldadura 600V 90C",0
106585,"2/0 AWG clase K Cable de soldadura 600V 105C EPDM",0
106587-V20,"2/0 AWG Super Vu-Tron Cable de soldadura 600V 90C",0
106588,"250 KCMIL clase K Cable de soldadura 600V 105C EPDM",0
106589,"3/0 AWG clase K Cable de soldadura 600V 105C EPDM",0
106590,"350 KCMIL clase K Cable de soldadura 600V 105C EPDM",0
106591,"4/0 AWG clase K Cable de soldadura 600V 105C EPDM",0
106592,"4/0 AWG Super Vu-Tron clase M Cable de soldadura 600V 90C",0
106593,"500 KCMIL clase K Cable de soldadura 600V 105C EPDM",0
106594,"2 AWG puente Cable N/S EPR",0
106595,"2/0 AWG puente Cable N/S EPR",0
106596,"4/0 AWG puente Cable N/S EPR",0
106597,"500 MCM puente Cable N/S EPR",0
106598,"1 AWG 4C tipo W Cable EPDM/CPE 2KV",0
106599,"4 AWG 3C tipo W Cable EPDM/CPE 2KV",0
106600,"6 AWG 2C tipo W Cable EPDM/CPE 2KV",0
106601,"6 AWG 4C tipo W Cable EPDM/CPE 2KV",0
106602,"6 AWG 5C tipo W Cable EPDM/CPE 2KV",0
106603,"8 AWG 3C tipo W Cable EPDM/CPE 2KV",0
106604,"8 AWG 4C tipo W Cable EPDM/CPE 2KV",0
106605,"1/0 AWG 1C tipo W Cable EPDM/CPE 2KV",0
106606,"1/0 AWG 4C tipo W Cable EPDM/CPE 2KV",0
106607,"1/0 AWG 5C tipo W Cable EPDM/CPE 2KV",0
106608,"2/0 AWG 3C tipo W Cable EPDM/CPE 2KV",0
106609,"2/0 AWG 4C tipo W Cable EPDM/CPE 2KV",0
106610,"2/0 AWG 5C tipo W Cable EPDM/CPE 2KV",0
106611,"3/0 AWG 4C tipo W Cable EPDM/CPE 2KV",0
106612,"3/0 AWG 5C tipo W Cable EPDM/CPE 2KV",0
106613,"4/0 AWG 4C tipo W Cable EPDM/CPE 2KV",0
106614,"500 MCM 1C tipo W Cable EPDM/CPE 2KV",0
106615,"1/3C tipo GGC 90C 2KV",0
106616,"2/3C tipo GGC 90C 2KV",0
106617,"2/4C tipo G 90C 2KV",0
106618,"4/3C tipo GGC 90C 2KV",0
106619,"4/4C tipo G 90C 2KV",0
106620,"6/3C tipo GGC 90C 2KV",0
106621,"6/4C tipo G 90C 2KV",0
106622,"8/3C tipo GGC 90C 2KV",0
106623,"8/4C tipo G 90C 2KV",0
106624,"1/0-3C tipo GGC 90C 2KV",0
106625,"1/0-4C tipo G 90C 2KV",0
106626,"2/0-3C tipo GGC 90C 2KV",0
106627,"2/0-4C tipo G 90C 2KV",0
106628,"250/3C tipo GGC 90C 2KV",0
106629,"3/0-3C tipo GGC 90C 2KV",0
106630,"3/0-4C tipo G 90C 2KV",0
106631,"350/3C tipo GGC 90C 2KV",0
106632,"4/0-3C tipo GGC 90C 2KV",0
106633,"4/0-4C tipo G 90C 2KV",0
106634,"500/3C tipo GGC 90C 2KV",0
106635,"1 AWG DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106636,"2 AWG DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106637,"4 AWG DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106638,"6 AWG DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106639,"8 AWG DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106640,"1/0 AWG DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106641,"12 AWG DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106642,"2/0 AWG DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106643,"262 MCM DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106644,"3/0 AWG DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106645,"313 MCM DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106646,"373 MCM DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106647,"4/0 AWG DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106648,"444 MCM DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106649,"535 MCM DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106650,"646 MCM DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106651,"777 MCM DLO Cable RHH RHW-2 RW90 90C 2KV CPE",0
106652,"16 AWG 2 conductores SJOOW Cordón portátil 300V",1
106653,"10/4C plano festón 105C 600V PVC",0
106654,"12/4C plano festón 105C 600V PVC",0
106655,"12/8C plano festón 105C 600V PVC",0
106656,"14/4C plano festón 105C 600V PVC",0
106657,"14/8C plano festón 105C 600V PVC",0
106658,"16/8C plano festón 105C 600V PVC",0
106659,"16/12C plano festón 105C 600V PVC",0
106660,"14/1C FEP tipo K (19 STR) 150C 600V",0
106664,"18/1C FEP tipo K (19 STR) 150C 600V",0
106665,"12 AWG PTFE teflón, negro 2",0
106666,"14 AWG PTFE teflón,",0
106667,"10 AWG PTFE teflón",0
106668,"10 AWG PTFE teflón,",0
106670,"14 AWG PTFE teflón negro 2",0
106671,"14 AWG PTFE teflón",0
106675,"16 AWG PTFE teflón",0
106680,"16(19ST)TFE-E MIL-16878/4 GRY",0
106682,"16 AWG PTFE teflón,",0
106685,"18(19ST)TFE-E MIL-16878/4 BLK",0
106686,"18 AWG PTFE teflón",0
106688,"18(19ST)TFE-E MIL-16878/4 GRN",0
106690,"18 AWG PTFE teflón,",0
106693,"22 AWG PTFE teflón",0
106696,"22 AWG PTFE teflón,",0
106697,"14/1C Gas Tube Only GTO-15 Cable 105C 15KV",0
106698,"2 AWG 133 hilos cobre desnudo PVC",1
106699,"8 AWG 133 hilos cobre desnudo PVC",1
106701,"10 AWG 105 hilos cobre estañado PVC",0
106707,"12 AWG 65 hilos cobre estañado PVC",0
106716,"14 AWG 41 hilos cobre estañado PVC",0
106726,"16 AWG 26 hilos cobre estañado PVC",0
